aluguel,zona,area,quarto
21000.0,sul,265.0,3.0
2000.0,sul,45.0,1.0
1499.0,sul,45.0,1.0
4500.0,sul,112.0,3.0
4500.0,sul,125.0,3.0
4500.0,sul,98.0,3.0
4500.0,sul,66.0,2.0
4500.0,sul,70.0,2.0
4500.0,sul,95.0,3.0
4500.0,sul,110.0,3.0
4500.0,sul,40.0,1.0
4500.0,sul,70.0,2.0
1300.0,sul,110.0,4.0
6500.0,sul,147.0,3.0
1050.0,sul,50.0,2.0
1400.0,sul,52.0,2.0
4500.0,sul,54.0,2.0
1580.0,sul,100.0,2.0
1238.0,sul,65.0,2.0
1450.0,sul,58.0,2.0
3000.0,sul,52.0,2.0
1678.0,sul,64.0,2.0
660.0,sul,30.0,1.0
2500.0,sul,80.0,3.0
1771.0,sul,118.0,2.0
1000.0,sul,40.0,2.0
1600.0,sul,80.0,2.0
1100.0,sul,60.0,2.0
4000.0,sul,53.0,2.0
1451.0,sul,40.0,1.0
1898.0,sul,32.0,1.0
1779.0,sul,35.0,1.0
1400.0,sul,55.0,2.0
2410.0,sul,66.0,2.0
3300.0,sul,55.0,1.0
1200.0,sul,47.0,2.0
2500.0,sul,100.0,3.0
2800.0,sul,81.0,2.0
1500.0,sul,100.0,1.0
1300.0,sul,53.0,2.0
1600.0,sul,100.0,2.0
1898.0,sul,55.0,2.0
1498.0,sul,43.0,1.0
1930.0,sul,200.0,3.0
13500.0,sul,355.0,3.0
1600.0,sul,65.0,3.0
3300.0,sul,80.0,2.0
2350.0,sul,48.0,2.0
2000.0,sul,53.0,2.0
1950.0,sul,70.0,2.0
1700.0,sul,50.0,2.0
2450.0,sul,70.0,3.0
4000.0,sul,50.0,1.0
1950.0,sul,35.0,1.0
1200.0,sul,32.0,1.0
2713.0,sul,68.0,2.0
1923.0,sul,59.0,2.0
1100.0,sul,59.0,1.0
1000.0,sul,55.0,2.0
3500.0,sul,142.0,3.0
2000.0,sul,35.0,1.0
2561.0,sul,55.0,2.0
1200.0,sul,34.0,1.0
2310.0,sul,76.0,3.0
1600.0,sul,40.0,1.0
2864.0,sul,84.0,2.0
1190.0,sul,41.0,1.0
4500.0,sul,31.0,1.0
2700.0,sul,88.0,2.0
3500.0,sul,78.0,2.0
3500.0,sul,55.0,2.0
1500.0,sul,65.0,2.0
1200.0,sul,30.0,1.0
1500.0,sul,49.0,2.0
2798.0,sul,60.0,2.0
1950.0,sul,70.0,2.0
4300.0,sul,150.0,2.0
4200.0,sul,100.0,3.0
13500.0,sul,170.0,3.0
5300.0,sul,60.0,2.0
1100.0,sul,35.0,2.0
4150.0,sul,53.0,1.0
6000.0,sul,93.0,2.0
2600.0,sul,46.0,2.0
3300.0,sul,43.0,1.0
3600.0,sul,60.0,2.0
1800.0,sul,94.0,1.0
4120.0,sul,69.0,2.0
3822.0,sul,80.0,2.0
4000.0,sul,70.0,2.0
2300.0,sul,70.0,3.0
780.0,sul,32.0,1.0
3200.0,sul,36.0,1.0
1800.0,sul,100.0,2.0
4900.0,sul,87.0,3.0
2000.0,sul,76.0,2.0
1200.0,sul,50.0,1.0
3800.0,sul,83.0,2.0
1200.0,sul,50.0,1.0
3800.0,sul,83.0,2.0
1858.0,sul,49.0,2.0
3800.0,sul,114.0,2.0
3800.0,sul,84.0,2.0
2800.0,sul,43.0,1.0
1600.0,sul,47.0,2.0
1500.0,sul,30.0,1.0
1400.0,sul,38.0,2.0
1600.0,sul,47.0,2.0
2990.0,sul,33.0,1.0
2650.0,sul,67.0,2.0
2600.0,sul,94.0,2.0
2075.0,sul,77.0,3.0
3070.0,sul,45.0,1.0
2950.0,sul,100.0,3.0
1200.0,sul,26.0,1.0
2200.0,sul,76.0,2.0
1100.0,sul,20.0,1.0
2000.0,sul,55.0,2.0
1200.0,sul,35.0,2.0
2400.0,sul,67.0,2.0
6510.0,sul,82.0,2.0
2500.0,sul,38.0,1.0
2180.0,sul,80.0,2.0
3400.0,sul,98.0,4.0
1930.0,sul,68.0,3.0
7000.0,sul,185.0,3.0
4000.0,sul,232.0,3.0
4250.0,sul,90.0,2.0
5500.0,sul,55.0,2.0
1600.0,sul,50.0,2.0
2500.0,sul,44.0,1.0
3310.0,sul,68.0,1.0
4150.0,sul,125.0,3.0
1830.0,sul,80.0,3.0
3500.0,sul,115.0,3.0
5200.0,sul,130.0,3.0
3500.0,sul,70.0,2.0
10000.0,sul,110.0,2.0
1700.0,sul,57.0,1.0
2500.0,sul,28.0,1.0
3500.0,sul,70.0,2.0
3500.0,sul,75.0,1.0
2200.0,sul,82.0,2.0
3980.0,sul,60.0,2.0
2420.0,sul,35.0,1.0
7500.0,sul,92.0,2.0
3950.0,sul,85.0,2.0
2000.0,sul,35.0,1.0
2800.0,sul,78.0,2.0
3160.0,sul,110.0,1.0
1900.0,sul,66.0,3.0
2126.0,sul,68.0,2.0
3350.0,sul,26.0,1.0
800.0,sul,32.0,1.0
2400.0,sul,60.0,2.0
1000.0,sul,55.0,2.0
7000.0,sul,73.0,2.0
2298.0,sul,33.0,1.0
2670.0,sul,102.0,2.0
2100.0,sul,70.0,2.0
3800.0,sul,130.0,2.0
1869.0,sul,90.0,2.0
2100.0,sul,65.0,2.0
2500.0,sul,123.0,2.0
5800.0,sul,86.0,2.0
4920.0,sul,143.0,3.0
2200.0,sul,55.0,2.0
2000.0,sul,55.0,2.0
4500.0,sul,60.0,2.0
3145.0,sul,90.0,2.0
2296.0,sul,70.0,2.0
2415.0,sul,90.0,3.0
3300.0,sul,50.0,1.0
2891.0,sul,42.0,1.0
1000.0,sul,59.0,3.0
2200.0,sul,63.0,2.0
2100.0,sul,75.0,3.0
4350.0,sul,210.0,3.0
2500.0,sul,78.0,3.0
2300.0,sul,150.0,3.0
4800.0,sul,104.0,3.0
3100.0,sul,35.0,1.0
9000.0,sul,164.0,3.0
1800.0,sul,69.0,3.0
10000.0,sul,180.0,3.0
3000.0,sul,49.0,1.0
3000.0,sul,50.0,1.0
6500.0,sul,107.0,2.0
1800.0,sul,26.0,1.0
5050.0,sul,78.0,1.0
1200.0,sul,50.0,2.0
2500.0,sul,40.0,1.0
2900.0,sul,56.0,2.0
1700.0,sul,70.0,2.0
6500.0,sul,100.0,2.0
1200.0,sul,50.0,2.0
5000.0,sul,46.0,1.0
2900.0,sul,52.0,2.0
4300.0,sul,70.0,2.0
2720.0,sul,70.0,3.0
1300.0,sul,40.0,2.0
2900.0,sul,33.0,1.0
3500.0,sul,28.0,1.0
3100.0,sul,51.0,1.0
2900.0,sul,40.0,1.0
3150.0,sul,80.0,3.0
2100.0,sul,50.0,1.0
1981.0,sul,30.0,1.0
4267.0,sul,45.0,1.0
2520.0,sul,82.0,3.0
2425.0,sul,57.0,2.0
1400.0,sul,47.0,2.0
2200.0,sul,39.0,1.0
2248.0,sul,37.0,1.0
2177.0,sul,31.0,1.0
2600.0,sul,50.0,1.0
2050.0,sul,45.0,1.0
2000.0,sul,51.0,1.0
2650.0,sul,31.0,1.0
2585.0,sul,58.0,2.0
3000.0,sul,77.0,2.0
1400.0,sul,32.0,1.0
2295.0,sul,35.0,1.0
3060.0,sul,96.0,3.0
4950.0,sul,70.0,2.0
3700.0,sul,83.0,3.0
2500.0,sul,38.0,2.0
2000.0,sul,52.0,2.0
1900.0,sul,37.0,1.0
2500.0,sul,67.0,2.0
5300.0,sul,112.0,3.0
3800.0,sul,67.0,2.0
4500.0,sul,90.0,1.0
2700.0,sul,77.0,3.0
2100.0,sul,80.0,2.0
2478.0,sul,47.0,1.0
2100.0,sul,60.0,1.0
4950.0,sul,100.0,3.0
7300.0,sul,105.0,3.0
2600.0,sul,45.0,1.0
3700.0,sul,136.0,2.0
5232.0,sul,114.0,2.0
3000.0,sul,45.0,1.0
3500.0,sul,101.0,1.0
2577.0,sul,49.0,1.0
7000.0,sul,160.0,2.0
4350.0,sul,96.0,3.0
4520.0,sul,110.0,3.0
1600.0,sul,36.0,1.0
3020.0,sul,38.0,1.0
1400.0,sul,71.0,2.0
2000.0,sul,45.0,2.0
2261.0,norte,198.0,3.0
1580.0,norte,54.0,2.0
890.0,norte,30.0,1.0
1250.0,norte,60.0,2.0
2200.0,norte,70.0,2.0
2400.0,norte,140.0,2.0
1500.0,norte,57.0,2.0
1000.0,norte,40.0,1.0
1500.0,norte,55.0,2.0
1868.0,norte,83.0,3.0
1000.0,norte,40.0,1.0
1650.0,norte,50.0,2.0
4500.0,norte,125.0,2.0
1840.0,norte,55.0,2.0
1000.0,norte,60.0,1.0
1600.0,norte,41.0,2.0
1200.0,norte,50.0,2.0
2400.0,norte,65.0,2.0
1500.0,norte,59.0,2.0
2650.0,norte,95.0,2.0
1400.0,norte,54.0,2.0
1050.0,norte,37.0,1.0
1500.0,norte,45.0,2.0
1488.0,norte,57.0,1.0
2030.0,norte,67.0,2.0
1615.0,norte,75.0,2.0
1417.0,norte,67.0,2.0
1530.0,norte,79.0,2.0
1990.0,norte,160.0,3.0
7000.0,norte,375.0,3.0
1500.0,norte,34.0,1.0
1300.0,norte,70.0,2.0
1522.0,norte,62.0,2.0
1500.0,norte,45.0,1.0
2200.0,norte,100.0,2.0
1627.0,norte,60.0,2.0
1268.0,norte,58.0,2.0
1944.0,norte,100.0,2.0
2750.0,norte,100.0,2.0
1900.0,norte,35.0,1.0
970.0,norte,35.0,1.0
2600.0,norte,50.0,1.0
1430.0,norte,53.0,2.0
1200.0,norte,47.0,2.0
1350.0,norte,44.0,2.0
1500.0,norte,31.0,1.0
1823.0,norte,65.0,2.0
1718.0,norte,72.0,3.0
1400.0,norte,51.0,2.0
1100.0,norte,58.0,1.0
1400.0,norte,51.0,2.0
1100.0,norte,58.0,1.0
1344.0,norte,68.0,1.0
550.0,norte,36.0,1.0
1690.0,norte,33.0,1.0
1250.0,norte,21.0,1.0
1450.0,norte,100.0,2.0
2200.0,norte,85.0,2.0
1550.0,norte,40.0,1.0
1500.0,norte,50.0,2.0
2200.0,norte,54.0,2.0
2500.0,norte,42.0,1.0
2600.0,norte,65.0,2.0
1800.0,norte,34.0,2.0
2000.0,norte,114.0,3.0
1100.0,norte,68.0,2.0
1500.0,norte,72.0,2.0
1310.0,norte,60.0,2.0
1079.0,norte,40.0,2.0
1200.0,norte,60.0,2.0
880.0,norte,18.0,1.0
1822.0,norte,64.0,3.0
4500.0,norte,86.0,3.0
2500.0,norte,92.0,2.0
2200.0,norte,64.0,1.0
2400.0,norte,94.0,3.0
4015.0,norte,227.0,3.0
1900.0,norte,90.0,2.0
3183.0,norte,170.0,3.0
1100.0,norte,50.0,2.0
2200.0,norte,63.0,3.0
3800.0,norte,144.0,3.0
2800.0,norte,144.0,3.0
1500.0,norte,100.0,2.0
3000.0,norte,60.0,2.0
2102.0,norte,77.0,2.0
1426.0,norte,45.0,1.0
1200.0,norte,55.0,2.0
1200.0,norte,38.0,1.0
2000.0,norte,50.0,2.0
4000.0,norte,120.0,3.0
2350.0,norte,250.0,3.0
6000.0,norte,310.0,3.0
1531.0,norte,64.0,2.0
1700.0,norte,52.0,2.0
1600.0,norte,30.0,1.0
3100.0,norte,57.0,2.0
2292.0,norte,67.0,2.0
1500.0,norte,43.0,2.0
2600.0,norte,120.0,3.0
4200.0,norte,120.0,3.0
1400.0,norte,50.0,2.0
5220.0,norte,450.0,3.0
1300.0,norte,67.0,2.0
875.0,norte,30.0,1.0
1910.0,norte,27.0,1.0
2100.0,norte,46.0,1.0
2000.0,norte,58.0,2.0
1450.0,norte,60.0,2.0
1400.0,norte,73.0,2.0
1500.0,norte,47.0,1.0
2200.0,norte,54.0,2.0
1000.0,norte,80.0,1.0
1052.0,norte,35.0,1.0
1600.0,norte,60.0,2.0
1300.0,norte,46.0,1.0
900.0,norte,40.0,1.0
903.0,norte,24.0,1.0
1718.0,norte,60.0,1.0
1600.0,norte,49.0,2.0
1200.0,norte,55.0,2.0
990.0,norte,36.0,1.0
2300.0,norte,65.0,2.0
840.0,norte,26.0,1.0
1100.0,norte,40.0,1.0
1250.0,norte,54.0,1.0
800.0,norte,45.0,1.0
980.0,norte,40.0,1.0
1650.0,norte,40.0,2.0
2150.0,norte,77.0,3.0
1196.0,norte,50.0,2.0
1517.0,norte,53.0,2.0
2300.0,norte,64.0,2.0
1500.0,norte,43.0,2.0
1700.0,norte,62.0,2.0
3365.0,norte,52.0,1.0
4400.0,norte,153.0,3.0
1290.0,norte,39.0,1.0
784.0,norte,28.0,1.0
1142.0,norte,50.0,2.0
500.0,norte,50.0,1.0
2000.0,norte,75.0,3.0
850.0,norte,45.0,1.0
1299.0,norte,47.0,2.0
1199.0,norte,52.0,2.0
850.0,norte,45.0,1.0
1000.0,norte,45.0,1.0
1490.0,norte,70.0,2.0
1000.0,norte,45.0,1.0
1490.0,norte,70.0,2.0
850.0,norte,45.0,1.0
850.0,norte,45.0,1.0
2000.0,norte,48.0,1.0
1200.0,norte,69.0,2.0
2000.0,norte,43.0,1.0
1600.0,norte,62.0,2.0
870.0,norte,30.0,1.0
990.0,norte,74.0,2.0
660.0,norte,15.0,1.0
179999.0,norte,53.0,2.0
975.0,norte,73.0,2.0
900.0,norte,40.0,1.0
700.0,norte,40.0,1.0
1220.0,norte,40.0,1.0
870.0,norte,75.0,1.0
1596.0,norte,64.0,2.0
1180.0,norte,53.0,2.0
1315.0,norte,60.0,2.0
913.0,norte,30.0,1.0
1450.0,norte,105.0,2.0
900.0,norte,32.0,1.0
1700.0,norte,90.0,3.0
1200.0,norte,52.0,2.0
1250.0,norte,72.0,2.0
1163.0,norte,43.0,2.0
1400.0,norte,50.0,2.0
1650.0,norte,100.0,2.0
1860.0,norte,60.0,2.0
1615.0,norte,77.0,3.0
1448.0,norte,80.0,2.0
1908.0,norte,45.0,1.0
1390.0,norte,60.0,1.0
1588.0,norte,50.0,2.0
820.0,norte,25.0,1.0
1480.0,norte,40.0,1.0
950.0,norte,27.0,1.0
1250.0,norte,50.0,2.0
770.0,norte,40.0,1.0
982.0,norte,56.0,2.0
1630.0,norte,90.0,2.0
700.0,norte,48.0,1.0
1500.0,norte,58.0,2.0
1739.0,norte,60.0,2.0
1412.0,norte,95.0,2.0
1478.0,norte,70.0,2.0
1302.0,norte,50.0,2.0
1000.0,norte,59.0,1.0
1670.0,norte,50.0,2.0
1000.0,norte,59.0,1.0
1670.0,norte,50.0,2.0
1000.0,norte,48.0,1.0
2000.0,norte,137.0,2.0
1718.0,norte,47.0,2.0
1300.0,norte,70.0,2.0
1800.0,norte,60.0,2.0
680.0,norte,40.0,1.0
1365.0,norte,40.0,2.0
3046.0,norte,98.0,3.0
1300.0,norte,100.0,2.0
1200.0,norte,54.0,2.0
1514.0,norte,23.0,1.0
1700.0,norte,55.0,2.0
1300.0,norte,50.0,2.0
4100.0,norte,120.0,2.0
1800.0,norte,85.0,2.0
1700.0,norte,40.0,1.0
1203.0,norte,70.0,1.0
900.0,norte,40.0,1.0
951.0,norte,60.0,1.0
1480.0,norte,80.0,2.0
1360.0,norte,73.0,2.0
600.0,norte,45.0,1.0
3400.0,norte,135.0,3.0
1990.0,norte,53.0,2.0
1100.0,norte,50.0,2.0
1900.0,norte,131.0,3.0
1631.0,norte,62.0,2.0
2029.0,norte,70.0,3.0
1375.0,norte,80.0,3.0
1065.0,norte,35.0,1.0
950.0,norte,30.0,1.0
1200.0,norte,58.0,2.0
1000.0,norte,60.0,1.0
850.0,norte,50.0,1.0
1600.0,norte,52.0,2.0
1684.0,norte,60.0,2.0
3150.0,norte,180.0,4.0
3400.0,norte,135.0,3.0
1358.0,norte,60.0,2.0
1700.0,norte,53.0,2.0
2250.0,norte,63.0,2.0
1450.0,norte,68.0,2.0
1500.0,norte,46.0,2.0
1900.0,norte,60.0,3.0
1450.0,norte,64.0,2.0
2500.0,norte,200.0,2.0
3500.0,norte,186.0,2.0
1500.0,norte,60.0,2.0
1800.0,norte,58.0,2.0
3489.0,norte,212.0,4.0
1990.0,norte,50.0,2.0
2604.0,norte,108.0,3.0
1287.0,norte,40.0,2.0
1200.0,norte,60.0,1.0
2193.0,norte,120.0,2.0
1700.0,norte,83.0,3.0
2111.0,norte,100.0,3.0
1800.0,norte,81.0,3.0
2897.0,norte,130.0,3.0
2500.0,norte,125.0,2.0
1981.0,norte,65.0,2.0
1550.0,norte,46.0,1.0
1500.0,norte,75.0,2.0
1950.0,norte,110.0,3.0
1352.0,norte,45.0,2.0
4609.0,norte,400.0,5.0
1300.0,norte,45.0,2.0
4000.0,norte,150.0,4.0
950.0,norte,54.0,1.0
2300.0,norte,65.0,2.0
1950.0,norte,58.0,2.0
1250.0,norte,48.0,2.0
1380.0,norte,60.0,2.0
1350.0,norte,53.0,2.0
1751.0,norte,58.0,2.0
1250.0,norte,31.0,1.0
1413.0,norte,100.0,2.0
1700.0,norte,60.0,2.0
2115.0,norte,70.0,1.0
1400.0,norte,50.0,2.0
1100.0,norte,50.0,2.0
1495.0,norte,90.0,1.0
2000.0,norte,60.0,2.0
1700.0,norte,85.0,3.0
3390.0,norte,230.0,3.0
1250.0,norte,53.0,2.0
3000.0,norte,138.0,3.0
1500.0,norte,50.0,2.0
1950.0,norte,74.0,3.0
1800.0,norte,40.0,1.0
2500.0,norte,89.0,3.0
3000.0,norte,160.0,2.0
2500.0,norte,66.0,3.0
930.0,norte,75.0,1.0
1400.0,norte,58.0,2.0
2300.0,norte,250.0,2.0
1000.0,leste,50.0,2.0
1900.0,leste,44.0,2.0
2134.0,leste,90.0,3.0
1700.0,leste,95.0,2.0
850.0,leste,31.0,1.0
1300.0,leste,50.0,1.0
700.0,leste,28.0,1.0
1800.0,leste,48.0,2.0
550.0,leste,24.0,1.0
800.0,leste,48.0,2.0
1050.0,leste,38.0,2.0
900.0,leste,30.0,2.0
1509.0,leste,70.0,2.0
1500.0,leste,60.0,2.0
1000.0,leste,52.0,2.0
1400.0,leste,24.0,1.0
1090.0,leste,47.0,2.0
2000.0,leste,120.0,2.0
2625.0,leste,112.0,3.0
900.0,leste,50.0,1.0
1200.0,leste,54.0,2.0
1600.0,leste,55.0,2.0
1000.0,leste,50.0,1.0
1950.0,leste,150.0,3.0
1000.0,leste,60.0,2.0
770.0,leste,24.0,1.0
1300.0,leste,47.0,2.0
850.0,leste,45.0,1.0
650.0,leste,32.0,1.0
